걸음수;타임스탬프(기록);날짜;시간
0;1554080460000;2019. 4. 1.;10시 1분 0초
0;1554081060000;2019. 4. 1.;10시 11분 0초
48;1554081660000;2019. 4. 1.;10시 21분 0초
135;1554082260000;2019. 4. 1.;10시 31분 0초
435;1554082860000;2019. 4. 1.;10시 41분 0초
703;1554083460000;2019. 4. 1.;10시 51분 0초
703;1554084060000;2019. 4. 1.;11시 1분 0초
703;1554084660000;2019. 4. 1.;11시 11분 0초
839;1554085260000;2019. 4. 1.;11시 21분 0초
997;1554085860000;2019. 4. 1.;11시 31분 0초
1024;1554086460000;2019. 4. 1.;11시 41분 0초
1240;1554087060000;2019. 4. 1.;11시 51분 0초
1789;1554087660000;2019. 4. 1.;12시 1분 0초
1879;1554088260000;2019. 4. 1.;12시 11분 0초
1879;1554088860000;2019. 4. 1.;12시 21분 0초
1963;1554089460000;2019. 4. 1.;12시 31분 0초
2292;1554090060000;2019. 4. 1.;12시 41분 0초
2685;1554090660000;2019. 4. 1.;12시 51분 0초
2907;1554091260000;2019. 4. 1.;13시 1분 0초
2980;1554091860000;2019. 4. 1.;13시 11분 0초
3024;1554092460000;2019. 4. 1.;13시 21분 0초
3450;1554093060000;2019. 4. 1.;13시 31분 0초
3450;1554093660000;2019. 4. 1.;13시 41분 0초
3450;1554094260000;2019. 4. 1.;13시 51분 0초
3450;1554094860000;2019. 4. 1.;14시 1분 0초
3450;1554095460000;2019. 4. 1.;14시 11분 0초
3450;1554096060000;2019. 4. 1.;14시 21분 0초
3450;1554096660000;2019. 4. 1.;14시 31분 0초
3450;1554097260000;2019. 4. 1.;14시 41분 0초
3450;1554097860000;2019. 4. 1.;14시 51분 0초
3477;1554098460000;2019. 4. 1.;15시 1분 0초
3477;1554099060000;2019. 4. 1.;15시 11분 0초
3477;1554099660000;2019. 4. 1.;15시 21분 0초
3477;1554100260000;2019. 4. 1.;15시 31분 0초
3477;1554100860000;2019. 4. 1.;15시 41분 0초
3477;1554101460000;2019. 4. 1.;15시 51분 0초
3477;1554102060000;2019. 4. 1.;16시 1분 0초
3544;1554102660000;2019. 4. 1.;16시 11분 0초
3632;1554103260000;2019. 4. 1.;16시 21분 0초
3632;1554103860000;2019. 4. 1.;16시 31분 0초
3632;1554104460000;2019. 4. 1.;16시 41분 0초
3632;1554105060000;2019. 4. 1.;16시 51분 0초
3632;1554105660000;2019. 4. 1.;17시 1분 0초
3669;1554106260000;2019. 4. 1.;17시 11분 0초
4289;1554106860000;2019. 4. 1.;17시 21분 0초
4289;1554107460000;2019. 4. 1.;17시 31분 0초
4289;1554108060000;2019. 4. 1.;17시 41분 0초
4568;1554108660000;2019. 4. 1.;17시 51분 0초
4688;1554109260000;2019. 4. 1.;18시 1분 0초
4688;1554109860000;2019. 4. 1.;18시 11분 0초
4688;1554110460000;2019. 4. 1.;18시 21분 0초
4739;1554111060000;2019. 4. 1.;18시 31분 0초
4805;1554111660000;2019. 4. 1.;18시 41분 0초
4805;1554112260000;2019. 4. 1.;18시 51분 0초
5252;1554112860000;2019. 4. 1.;19시 1분 0초
5612;1554113460000;2019. 4. 1.;19시 11분 0초
5612;1554114060000;2019. 4. 1.;19시 21분 0초
5612;1554114660000;2019. 4. 1.;19시 31분 0초
5612;1554115260000;2019. 4. 1.;19시 41분 0초
5612;1554115860000;2019. 4. 1.;19시 51분 0초
5612;1554116460000;2019. 4. 1.;20시 1분 0초
5717;1554117060000;2019. 4. 1.;20시 11분 0초
6208;1554117660000;2019. 4. 1.;20시 21분 0초
6325;1554118260000;2019. 4. 1.;20시 31분 0초
6351;1554118860000;2019. 4. 1.;20시 41분 0초
6933;1554119460000;2019. 4. 1.;20시 51분 0초
7261;1554120060000;2019. 4. 1.;21시 1분 0초
7541;1554120660000;2019. 4. 1.;21시 11분 0초
7588;1554121260000;2019. 4. 1.;21시 21분 0초
7774;1554121860000;2019. 4. 1.;21시 31분 0초
7959;1554122460000;2019. 4. 1.;21시 41분 0초
8239;1554123060000;2019. 4. 1.;21시 51분 0초
8393;1554123660000;2019. 4. 1.;22시 1분 0초
8504;1554124260000;2019. 4. 1.;22시 11분 0초
8612;1554124860000;2019. 4. 1.;22시 21분 0초
9000;1554125460000;2019. 4. 1.;22시 31분 0초
9000;1554126060000;2019. 4. 1.;22시 41분 0초
9000;1554126660000;2019. 4. 1.;22시 51분 0초
9000;1554127260000;2019. 4. 1.;23시 1분 0초
9413;1554127860000;2019. 4. 1.;23시 11분 0초
9413;1554128460000;2019. 4. 1.;23시 21분 0초
9413;1554129060000;2019. 4. 1.;23시 31분 0초
9413;1554129660000;2019. 4. 1.;23시 41분 0초
9413;1554130260000;2019. 4. 1.;23시 51분 0초
9413;1554130740000;2019. 4. 1.;23시 59분 0초
0;1554130883615;2019. 4. 2.;0시 1분 23초
0;1554131340000;2019. 4. 2.;0시 9분 0초
0;1554131460000;2019. 4. 2.;0시 11분 0초
0;1554132060000;2019. 4. 2.;0시 21분 0초
0;1554132660000;2019. 4. 2.;0시 31분 0초
0;1554133260000;2019. 4. 2.;0시 41분 0초
0;1554133860000;2019. 4. 2.;0시 51분 0초
0;1554134460000;2019. 4. 2.;1시 1분 0초
0;1554135060000;2019. 4. 2.;1시 11분 0초
0;1554135660000;2019. 4. 2.;1시 21분 0초
80;1554136260000;2019. 4. 2.;1시 31분 0초
80;1554136860000;2019. 4. 2.;1시 41분 0초
80;1554137460000;2019. 4. 2.;1시 51분 0초
80;1554138060000;2019. 4. 2.;2시 1분 0초
80;1554138660000;2019. 4. 2.;2시 11분 0초
80;1554139260000;2019. 4. 2.;2시 21분 0초
80;1554139860000;2019. 4. 2.;2시 31분 0초
80;1554140460000;2019. 4. 2.;2시 41분 0초
80;1554141060000;2019. 4. 2.;2시 51분 0초
80;1554141660000;2019. 4. 2.;3시 1분 0초
80;1554142260000;2019. 4. 2.;3시 11분 0초
80;1554142860000;2019. 4. 2.;3시 21분 0초
80;1554143460000;2019. 4. 2.;3시 31분 0초
80;1554144060000;2019. 4. 2.;3시 41분 0초
80;1554144660000;2019. 4. 2.;3시 51분 0초
80;1554145260000;2019. 4. 2.;4시 1분 0초
80;1554145860000;2019. 4. 2.;4시 11분 0초
80;1554146460000;2019. 4. 2.;4시 21분 0초
80;1554147060000;2019. 4. 2.;4시 31분 0초
80;1554147660000;2019. 4. 2.;4시 41분 0초
80;1554148260000;2019. 4. 2.;4시 51분 0초
80;1554148860000;2019. 4. 2.;5시 1분 0초
80;1554149460000;2019. 4. 2.;5시 11분 0초
80;1554150060000;2019. 4. 2.;5시 21분 0초
80;1554150660000;2019. 4. 2.;5시 31분 0초
80;1554151260000;2019. 4. 2.;5시 41분 0초
80;1554151860000;2019. 4. 2.;5시 51분 0초
80;1554152460000;2019. 4. 2.;6시 1분 0초
80;1554153060000;2019. 4. 2.;6시 11분 0초
80;1554153660000;2019. 4. 2.;6시 21분 0초
80;1554154260000;2019. 4. 2.;6시 31분 0초
80;1554154860000;2019. 4. 2.;6시 41분 0초
80;1554155460000;2019. 4. 2.;6시 51분 0초
80;1554156060000;2019. 4. 2.;7시 1분 0초
80;1554156660000;2019. 4. 2.;7시 11분 0초
80;1554157260000;2019. 4. 2.;7시 21분 0초
80;1554157860000;2019. 4. 2.;7시 31분 0초
80;1554158460000;2019. 4. 2.;7시 41분 0초
95;1554159060000;2019. 4. 2.;7시 51분 0초
293;1554159660000;2019. 4. 2.;8시 1분 0초
452;1554160260000;2019. 4. 2.;8시 11분 0초
652;1554160860000;2019. 4. 2.;8시 21분 0초
785;1554161460000;2019. 4. 2.;8시 31분 0초
1132;1554162060000;2019. 4. 2.;8시 41분 0초
1178;1554162660000;2019. 4. 2.;8시 51분 0초
1357;1554163260000;2019. 4. 2.;9시 1분 0초
1357;1554163860000;2019. 4. 2.;9시 11분 0초
1357;1554164460000;2019. 4. 2.;9시 21분 0초
1357;1554165060000;2019. 4. 2.;9시 31분 0초
1597;1554165660000;2019. 4. 2.;9시 41분 0초
1786;1554166260000;2019. 4. 2.;9시 51분 0초
1899;1554166860000;2019. 4. 2.;10시 1분 0초
1899;1554167460000;2019. 4. 2.;10시 11분 0초
1899;1554168060000;2019. 4. 2.;10시 21분 0초
1899;1554168660000;2019. 4. 2.;10시 31분 0초
1899;1554169260000;2019. 4. 2.;10시 41분 0초
1899;1554169860000;2019. 4. 2.;10시 51분 0초
1899;1554170460000;2019. 4. 2.;11시 1분 0초
2086;1554171060000;2019. 4. 2.;11시 11분 0초
2591;1554171660000;2019. 4. 2.;11시 21분 0초
2654;1554172260000;2019. 4. 2.;11시 31분 0초
2791;1554172860000;2019. 4. 2.;11시 41분 0초
2909;1554173460000;2019. 4. 2.;11시 51분 0초
2909;1554174060000;2019. 4. 2.;12시 1분 0초
3226;1554174660000;2019. 4. 2.;12시 11분 0초
3247;1554175260000;2019. 4. 2.;12시 21분 0초
3247;1554175860000;2019. 4. 2.;12시 31분 0초
3247;1554176460000;2019. 4. 2.;12시 41분 0초
3266;1554177060000;2019. 4. 2.;12시 51분 0초
3297;1554177660000;2019. 4. 2.;13시 1분 0초
3297;1554178260000;2019. 4. 2.;13시 11분 0초
3297;1554178860000;2019. 4. 2.;13시 21분 0초
3297;1554179460000;2019. 4. 2.;13시 31분 0초
3297;1554180060000;2019. 4. 2.;13시 41분 0초
3409;1554180660000;2019. 4. 2.;13시 51분 0초
3924;1554181260000;2019. 4. 2.;14시 1분 0초
3937;1554181860000;2019. 4. 2.;14시 11분 0초
3937;1554182460000;2019. 4. 2.;14시 21분 0초
4449;1554183060000;2019. 4. 2.;14시 31분 0초
4740;1554183660000;2019. 4. 2.;14시 41분 0초
5384;1554184260000;2019. 4. 2.;14시 51분 0초
5638;1554184860000;2019. 4. 2.;15시 1분 0초
5638;1554185460000;2019. 4. 2.;15시 11분 0초
5638;1554186060000;2019. 4. 2.;15시 21분 0초
5638;1554186660000;2019. 4. 2.;15시 31분 0초
5638;1554187260000;2019. 4. 2.;15시 41분 0초
5638;1554187860000;2019. 4. 2.;15시 51분 0초
5638;1554188460000;2019. 4. 2.;16시 1분 0초
5638;1554189060000;2019. 4. 2.;16시 11분 0초
5638;1554189660000;2019. 4. 2.;16시 21분 0초
5798;1554190260000;2019. 4. 2.;16시 31분 0초
5798;1554190860000;2019. 4. 2.;16시 41분 0초
5798;1554191460000;2019. 4. 2.;16시 51분 0초
5798;1554192060000;2019. 4. 2.;17시 1분 0초
5798;1554192660000;2019. 4. 2.;17시 11분 0초
5798;1554193260000;2019. 4. 2.;17시 21분 0초
5798;1554193860000;2019. 4. 2.;17시 31분 0초
5798;1554194460000;2019. 4. 2.;17시 41분 0초
5798;1554195060000;2019. 4. 2.;17시 51분 0초
6044;1554195660000;2019. 4. 2.;18시 1분 0초
6183;1554196260000;2019. 4. 2.;18시 11분 0초
6866;1554196860000;2019. 4. 2.;18시 21분 0초
6877;1554197460000;2019. 4. 2.;18시 31분 0초
6877;1554198060000;2019. 4. 2.;18시 41분 0초
6887;1554198660000;2019. 4. 2.;18시 51분 0초
7937;1554199260000;2019. 4. 2.;19시 1분 0초
7937;1554199860000;2019. 4. 2.;19시 11분 0초
7937;1554200460000;2019. 4. 2.;19시 21분 0초
7937;1554201060000;2019. 4. 2.;19시 31분 0초
7937;1554201660000;2019. 4. 2.;19시 41분 0초
7937;1554202260000;2019. 4. 2.;19시 51분 0초
8394;1554202860000;2019. 4. 2.;20시 1분 0초
8453;1554203460000;2019. 4. 2.;20시 11분 0초
8956;1554204060000;2019. 4. 2.;20시 21분 0초
8956;1554204660000;2019. 4. 2.;20시 31분 0초
8967;1554205260000;2019. 4. 2.;20시 41분 0초
8967;1554205860000;2019. 4. 2.;20시 51분 0초
8967;1554206460000;2019. 4. 2.;21시 1분 0초
8967;1554207060000;2019. 4. 2.;21시 11분 0초
9093;1554207660000;2019. 4. 2.;21시 21분 0초
9607;1554208260000;2019. 4. 2.;21시 31분 0초
9607;1554208860000;2019. 4. 2.;21시 41분 0초
9607;1554209460000;2019. 4. 2.;21시 51분 0초
9607;1554210060000;2019. 4. 2.;22시 1분 0초
9607;1554210660000;2019. 4. 2.;22시 11분 0초
9607;1554211260000;2019. 4. 2.;22시 21분 0초
9607;1554211860000;2019. 4. 2.;22시 31분 0초
9607;1554212460000;2019. 4. 2.;22시 41분 0초
9607;1554213060000;2019. 4. 2.;22시 51분 0초
9607;1554213660000;2019. 4. 2.;23시 1분 0초
9607;1554214260000;2019. 4. 2.;23시 11분 0초
9607;1554214860000;2019. 4. 2.;23시 21분 0초
9607;1554215460000;2019. 4. 2.;23시 31분 0초
