걸음;타임스탬프;날짜;시간
736;1539287460000;2018. 10. 12.;오전 4:51:00
736;1539288060000;2018. 10. 12.;오전 5:01:00
736;1539288660000;2018. 10. 12.;오전 5:11:00
736;1539289260000;2018. 10. 12.;오전 5:21:00
736;1539289860000;2018. 10. 12.;오전 5:31:00
736;1539290460000;2018. 10. 12.;오전 5:41:00
736;1539291060000;2018. 10. 12.;오전 5:51:00
736;1539291660000;2018. 10. 12.;오전 6:01:00
736;1539292260000;2018. 10. 12.;오전 6:11:00
736;1539292860000;2018. 10. 12.;오전 6:21:00
736;1539293460000;2018. 10. 12.;오전 6:31:00
736;1539294060000;2018. 10. 12.;오전 6:41:00
736;1539294660000;2018. 10. 12.;오전 6:51:00
736;1539295260000;2018. 10. 12.;오전 7:01:00
736;1539295860000;2018. 10. 12.;오전 7:11:00
736;1539296460000;2018. 10. 12.;오전 7:21:00
736;1539297060000;2018. 10. 12.;오전 7:31:00
736;1539297660000;2018. 10. 12.;오전 7:41:00
736;1539298260000;2018. 10. 12.;오전 7:51:00
736;1539298860000;2018. 10. 12.;오전 8:01:00
736;1539299460000;2018. 10. 12.;오전 8:11:00
736;1539300060000;2018. 10. 12.;오전 8:21:00
736;1539300660000;2018. 10. 12.;오전 8:31:00
736;1539301260000;2018. 10. 12.;오전 8:41:00
736;1539301860000;2018. 10. 12.;오전 8:51:00
736;1539302460000;2018. 10. 12.;오전 9:01:00
736;1539303060000;2018. 10. 12.;오전 9:11:00
736;1539303660000;2018. 10. 12.;오전 9:21:00
736;1539304260000;2018. 10. 12.;오전 9:31:00
736;1539304860000;2018. 10. 12.;오전 9:41:00
736;1539305460000;2018. 10. 12.;오전 9:51:00
736;1539306060000;2018. 10. 12.;오전 10:01:00
736;1539306660000;2018. 10. 12.;오전 10:11:00
736;1539307260000;2018. 10. 12.;오전 10:21:00
736;1539307860000;2018. 10. 12.;오전 10:31:00
736;1539308460000;2018. 10. 12.;오전 10:41:00
736;1539309060000;2018. 10. 12.;오전 10:51:00
