걸음;타임스탬프;날짜;시간
1526;1554080940000;2019. 4. 1.;오전 10:09:00
1602;1554081540000;2019. 4. 1.;오전 10:19:00
1602;1554082140000;2019. 4. 1.;오전 10:29:00
1602;1554082740000;2019. 4. 1.;오전 10:39:00
1602;1554083340000;2019. 4. 1.;오전 10:49:00
1602;1554083940000;2019. 4. 1.;오전 10:59:00
1602;1554084540000;2019. 4. 1.;오전 11:09:00
1602;1554085140000;2019. 4. 1.;오전 11:19:00
1602;1554085740000;2019. 4. 1.;오전 11:29:00
1602;1554086340000;2019. 4. 1.;오전 11:39:00
1602;1554086940000;2019. 4. 1.;오전 11:49:00
1602;1554087540000;2019. 4. 1.;오전 11:59:00
1602;1554088140000;2019. 4. 1.;오후 12:09:00
1602;1554088740000;2019. 4. 1.;오후 12:19:00
1632;1554089340000;2019. 4. 1.;오후 12:29:00
1632;1554089940000;2019. 4. 1.;오후 12:39:00
1846;1554090540000;2019. 4. 1.;오후 12:49:00
2414;1554091140000;2019. 4. 1.;오후 12:59:00
2414;1554091740000;2019. 4. 1.;오후 1:09:00
2414;1554092340000;2019. 4. 1.;오후 1:19:00
2414;1554092940000;2019. 4. 1.;오후 1:29:00
2414;1554093540000;2019. 4. 1.;오후 1:39:00
2414;1554094140000;2019. 4. 1.;오후 1:49:00
2492;1554094740000;2019. 4. 1.;오후 1:59:00
2492;1554095340000;2019. 4. 1.;오후 2:09:00
2492;1554095940000;2019. 4. 1.;오후 2:19:00
2492;1554096540000;2019. 4. 1.;오후 2:29:00
2492;1554097140000;2019. 4. 1.;오후 2:39:00
2492;1554097740000;2019. 4. 1.;오후 2:49:00
2712;1554098340000;2019. 4. 1.;오후 2:59:00
2712;1554098940000;2019. 4. 1.;오후 3:09:00
2712;1554099540000;2019. 4. 1.;오후 3:19:00
2712;1554100140000;2019. 4. 1.;오후 3:29:00
2712;1554100740000;2019. 4. 1.;오후 3:39:00
2712;1554101340000;2019. 4. 1.;오후 3:49:00
2712;1554101940000;2019. 4. 1.;오후 3:59:00
2712;1554102540000;2019. 4. 1.;오후 4:09:00
2712;1554103140000;2019. 4. 1.;오후 4:19:00
2728;1554103740000;2019. 4. 1.;오후 4:29:00
2728;1554104340000;2019. 4. 1.;오후 4:39:00
