Steps,Timestamp,Date,Time
0,1559350860000 ,"Jun 1, 2019",10:01:00
0,1559351460000 ,"Jun 1, 2019",10:11:00
0,1559352060000 ,"Jun 1, 2019",10:21:00
0,1559352660000 ,"Jun 1, 2019",10:31:00
0,1559353260000 ,"Jun 1, 2019",10:41:00
0,1559353860000 ,"Jun 1, 2019",10:51:00
80,1559354460000 ,"Jun 1, 2019",11:01:00
251,1559355060000 ,"Jun 1, 2019",11:11:00
515,1559355660000 ,"Jun 1, 2019",11:21:00
665,1559356260000 ,"Jun 1, 2019",11:31:00
861,1559356860000 ,"Jun 1, 2019",11:41:00
1170,1559357460000 ,"Jun 1, 2019",11:51:00
1922,1559358060000 ,"Jun 1, 2019",12:01:00
2277,1559358660000 ,"Jun 1, 2019",12:11:00
2277,1559359260000 ,"Jun 1, 2019",12:21:00
2277,1559359860000 ,"Jun 1, 2019",12:31:00
2277,1559360460000 ,"Jun 1, 2019",12:41:00
2560,1559361060000 ,"Jun 1, 2019",12:51:00
2908,1559361660000 ,"Jun 1, 2019",13:01:00
3561,1559362260000 ,"Jun 1, 2019",13:11:00
4335,1559362860000 ,"Jun 1, 2019",13:21:00
4791,1559363460000 ,"Jun 1, 2019",13:31:00
5186,1559364060000 ,"Jun 1, 2019",13:41:00
5209,1559364660000 ,"Jun 1, 2019",13:51:00
5209,1559365260000 ,"Jun 1, 2019",14:01:00
5209,1559365860000 ,"Jun 1, 2019",14:11:00
5209,1559366460000 ,"Jun 1, 2019",14:21:00
5209,1559367060000 ,"Jun 1, 2019",14:31:00
5349,1559367660000 ,"Jun 1, 2019",14:41:00
5541,1559368260000 ,"Jun 1, 2019",14:51:00
5561,1559368860000 ,"Jun 1, 2019",15:01:00
5561,1559369460000 ,"Jun 1, 2019",15:11:00
5561,1559370060000 ,"Jun 1, 2019",15:21:00
5575,1559370660000 ,"Jun 1, 2019",15:31:00
5916,1559371260000 ,"Jun 1, 2019",15:41:00
6305,1559371860000 ,"Jun 1, 2019",15:51:00
6902,1559372460000 ,"Jun 1, 2019",16:01:00
7555,1559373060000 ,"Jun 1, 2019",16:11:00
7743,1559373660000 ,"Jun 1, 2019",16:21:00
8264,1559374260000 ,"Jun 1, 2019",16:31:00
8443,1559374860000 ,"Jun 1, 2019",16:41:00
8827,1559375460000 ,"Jun 1, 2019",16:51:00
9023,1559376060000 ,"Jun 1, 2019",17:01:00
9561,1559376660000 ,"Jun 1, 2019",17:11:00
9918,1559377260000 ,"Jun 1, 2019",17:21:00
10051,1559377860000 ,"Jun 1, 2019",17:31:00
10241,1559378460000 ,"Jun 1, 2019",17:41:00
10255,1559379060000 ,"Jun 1, 2019",17:51:00
10430,1559379660000 ,"Jun 1, 2019",18:01:00
10430,1559380260000 ,"Jun 1, 2019",18:11:00
10453,1559380860000 ,"Jun 1, 2019",18:21:00
10499,1559381460000 ,"Jun 1, 2019",18:31:00
10804,1559382060000 ,"Jun 1, 2019",18:41:00
11201,1559382660000 ,"Jun 1, 2019",18:51:00
11349,1559383260000 ,"Jun 1, 2019",19:01:00
11437,1559383860000 ,"Jun 1, 2019",19:11:00
11447,1559384460000 ,"Jun 1, 2019",19:21:00
11479,1559385060000 ,"Jun 1, 2019",19:31:00
11537,1559385660000 ,"Jun 1, 2019",19:41:00
11556,1559386260000 ,"Jun 1, 2019",19:51:00
11556,1559386860000 ,"Jun 1, 2019",20:01:00
11556,1559387460000 ,"Jun 1, 2019",20:11:00
11556,1559388060000 ,"Jun 1, 2019",20:21:00
11556,1559388660000 ,"Jun 1, 2019",20:31:00
11556,1559389260000 ,"Jun 1, 2019",20:41:00
11667,1559389680000 ,"Jun 1, 2019",20:48:00
11667,1559390291248 ,"Jun 1, 2019",20:58:11
11667,1559391523411 ,"Jun 1, 2019",21:18:43
11667,1559392189440 ,"Jun 1, 2019",21:29:49
11667,1559392807340 ,"Jun 1, 2019",21:40:07
11667,1559393444386 ,"Jun 1, 2019",21:50:44
11667,1559394060730 ,"Jun 1, 2019",22:01:00
11667,1559394661035 ,"Jun 1, 2019",22:11:01
11667,1559395380880 ,"Jun 1, 2019",22:23:00
11667,1559395996707 ,"Jun 1, 2019",22:33:16
11667,1559397285806 ,"Jun 1, 2019",22:54:45
11667,1559397889737 ,"Jun 1, 2019",23:04:49
11667,1559398543857 ,"Jun 1, 2019",23:15:43
11667,1559399174694 ,"Jun 1, 2019",23:26:14
11667,1559399803973 ,"Jun 1, 2019",23:36:43
11667,1559400420831 ,"Jun 1, 2019",23:47:00
11667,1559401025318 ,"Jun 1, 2019",23:57:05
0,1559401625618 ,"Jun 2, 2019",00:07:05
0,1559402828778 ,"Jun 2, 2019",00:27:08
0,1559403435289 ,"Jun 2, 2019",00:37:15
0,1559404039729 ,"Jun 2, 2019",00:47:19
0,1559404650239 ,"Jun 2, 2019",00:57:30
0,1559405280961 ,"Jun 2, 2019",01:08:00
0,1559405989582 ,"Jun 2, 2019",01:19:49
0,1559406600752 ,"Jun 2, 2019",01:30:00
0,1559407244525 ,"Jun 2, 2019",01:40:44
0,1559407878464 ,"Jun 2, 2019",01:51:18
0,1559408503607 ,"Jun 2, 2019",02:01:43
0,1559409121504 ,"Jun 2, 2019",02:12:01
0,1559410423859 ,"Jun 2, 2019",02:33:43
0,1559411024167 ,"Jun 2, 2019",02:43:44
0,1559411689160 ,"Jun 2, 2019",02:54:49
0,1559412370197 ,"Jun 2, 2019",03:06:10
0,1559413004144 ,"Jun 2, 2019",03:16:44
0,1559413621042 ,"Jun 2, 2019",03:27:01
0,1559414223559 ,"Jun 2, 2019",03:37:03
0,1559414852171 ,"Jun 2, 2019",03:47:32
0,1559415591172 ,"Jun 2, 2019",03:59:51
0,1559416250479 ,"Jun 2, 2019",04:10:50
0,1559416861142 ,"Jun 2, 2019",04:21:01
0,1559417474386 ,"Jun 2, 2019",04:31:14
0,1559418180972 ,"Jun 2, 2019",04:43:00
0,1559418808011 ,"Jun 2, 2019",04:53:28
0,1559419423405 ,"Jun 2, 2019",05:03:43
0,1559420085229 ,"Jun 2, 2019",05:14:45
0,1559420692269 ,"Jun 2, 2019",05:24:52
0,1559421321037 ,"Jun 2, 2019",05:35:21
0,1559421951894 ,"Jun 2, 2019",05:45:51
0,1559422569311 ,"Jun 2, 2019",05:56:09
0,1559423203735 ,"Jun 2, 2019",06:06:43
0,1559423821127 ,"Jun 2, 2019",06:17:01
0,1559424421487 ,"Jun 2, 2019",06:27:01
0,1559425022003 ,"Jun 2, 2019",06:37:02
0,1559425651560 ,"Jun 2, 2019",06:47:31
0,1559426924115 ,"Jun 2, 2019",07:08:44
0,1559427589158 ,"Jun 2, 2019",07:19:49
12,1559427840000 ,"Jun 2, 2019",07:24:00
12,1559428440000 ,"Jun 2, 2019",07:34:00
12,1559429040000 ,"Jun 2, 2019",07:44:00
12,1559429640000 ,"Jun 2, 2019",07:54:00
12,1559430240000 ,"Jun 2, 2019",08:04:00
12,1559430840000 ,"Jun 2, 2019",08:14:00
12,1559431440000 ,"Jun 2, 2019",08:24:00
12,1559432040000 ,"Jun 2, 2019",08:34:00
12,1559432640000 ,"Jun 2, 2019",08:44:00
12,1559433240000 ,"Jun 2, 2019",08:54:00
12,1559433840000 ,"Jun 2, 2019",09:04:00
12,1559434440000 ,"Jun 2, 2019",09:14:00
12,1559435040000 ,"Jun 2, 2019",09:24:00
12,1559435640000 ,"Jun 2, 2019",09:34:00
12,1559436240000 ,"Jun 2, 2019",09:44:00
12,1559436840000 ,"Jun 2, 2019",09:54:00
12,1559437440000 ,"Jun 2, 2019",10:04:00
12,1559438040000 ,"Jun 2, 2019",10:14:00
12,1559438640000 ,"Jun 2, 2019",10:24:00
12,1559439240000 ,"Jun 2, 2019",10:34:00
12,1559439840000 ,"Jun 2, 2019",10:44:00
12,1559440440000 ,"Jun 2, 2019",10:54:00
12,1559441040000 ,"Jun 2, 2019",11:04:00
12,1559441640000 ,"Jun 2, 2019",11:14:00
12,1559442240000 ,"Jun 2, 2019",11:24:00
12,1559442840000 ,"Jun 2, 2019",11:34:00
12,1559443440000 ,"Jun 2, 2019",11:44:00
12,1559444040000 ,"Jun 2, 2019",11:54:00
12,1559444640000 ,"Jun 2, 2019",12:04:00
12,1559445240000 ,"Jun 2, 2019",12:14:00
12,1559445840000 ,"Jun 2, 2019",12:24:00
12,1559446440000 ,"Jun 2, 2019",12:34:00
12,1559447040000 ,"Jun 2, 2019",12:44:00
12,1559447640000 ,"Jun 2, 2019",12:54:00
12,1559448240000 ,"Jun 2, 2019",13:04:00
12,1559448840000 ,"Jun 2, 2019",13:14:00
12,1559449440000 ,"Jun 2, 2019",13:24:00
12,1559450040000 ,"Jun 2, 2019",13:34:00
12,1559450640000 ,"Jun 2, 2019",13:44:00
12,1559451240000 ,"Jun 2, 2019",13:54:00
12,1559451840000 ,"Jun 2, 2019",14:04:00
12,1559452440000 ,"Jun 2, 2019",14:14:00
12,1559453040000 ,"Jun 2, 2019",14:24:00
12,1559453640000 ,"Jun 2, 2019",14:34:00
12,1559454240000 ,"Jun 2, 2019",14:44:00
12,1559454840000 ,"Jun 2, 2019",14:54:00
12,1559455440000 ,"Jun 2, 2019",15:04:00
12,1559456040000 ,"Jun 2, 2019",15:14:00
12,1559456640000 ,"Jun 2, 2019",15:24:00
12,1559457240000 ,"Jun 2, 2019",15:34:00
12,1559457840000 ,"Jun 2, 2019",15:44:00
12,1559458440000 ,"Jun 2, 2019",15:54:00
12,1559459040000 ,"Jun 2, 2019",16:04:00
12,1559459640000 ,"Jun 2, 2019",16:14:00
12,1559460240000 ,"Jun 2, 2019",16:24:00
12,1559460840000 ,"Jun 2, 2019",16:34:00
12,1559461440000 ,"Jun 2, 2019",16:44:00
12,1559462040000 ,"Jun 2, 2019",16:54:00
12,1559462640000 ,"Jun 2, 2019",17:04:00
12,1559463240000 ,"Jun 2, 2019",17:14:00
12,1559463840000 ,"Jun 2, 2019",17:24:00
12,1559464440000 ,"Jun 2, 2019",17:34:00
12,1559465040000 ,"Jun 2, 2019",17:44:00
12,1559465640000 ,"Jun 2, 2019",17:54:00
12,1559466240000 ,"Jun 2, 2019",18:04:00
12,1559466840000 ,"Jun 2, 2019",18:14:00
12,1559467440000 ,"Jun 2, 2019",18:24:00
12,1559468040000 ,"Jun 2, 2019",18:34:00
12,1559468640000 ,"Jun 2, 2019",18:44:00
12,1559469240000 ,"Jun 2, 2019",18:54:00
12,1559469840000 ,"Jun 2, 2019",19:04:00
12,1559470440000 ,"Jun 2, 2019",19:14:00
12,1559471040000 ,"Jun 2, 2019",19:24:00
12,1559471640000 ,"Jun 2, 2019",19:34:00
12,1559472240000 ,"Jun 2, 2019",19:44:00
12,1559472840000 ,"Jun 2, 2019",19:54:00
12,1559473440000 ,"Jun 2, 2019",20:04:00
12,1559474040000 ,"Jun 2, 2019",20:14:00
12,1559474640000 ,"Jun 2, 2019",20:24:00
12,1559475240000 ,"Jun 2, 2019",20:34:00
12,1559475840000 ,"Jun 2, 2019",20:44:00
12,1559476440000 ,"Jun 2, 2019",20:54:00
12,1559477040000 ,"Jun 2, 2019",21:04:00
12,1559477640000 ,"Jun 2, 2019",21:14:00
12,1559478240000 ,"Jun 2, 2019",21:24:00
12,1559478840000 ,"Jun 2, 2019",21:34:00
12,1559479440000 ,"Jun 2, 2019",21:44:00
12,1559480040000 ,"Jun 2, 2019",21:54:00
12,1559480640000 ,"Jun 2, 2019",22:04:00
12,1559481240000 ,"Jun 2, 2019",22:14:00
12,1559481840000 ,"Jun 2, 2019",22:24:00
12,1559482440000 ,"Jun 2, 2019",22:34:00
12,1559483040000 ,"Jun 2, 2019",22:44:00
12,1559483640000 ,"Jun 2, 2019",22:54:00
12,1559484240000 ,"Jun 2, 2019",23:04:00
12,1559484840000 ,"Jun 2, 2019",23:14:00
12,1559485440000 ,"Jun 2, 2019",23:24:00
12,1559486040000 ,"Jun 2, 2019",23:34:00
12,1559486640000 ,"Jun 2, 2019",23:44:00
12,1559487240000 ,"Jun 2, 2019",23:54:00
12,1559487540000 ,"Jun 2, 2019",23:59:00
0,1559488140000 ,"Jun 3, 2019",00:09:00
0,1559488740000 ,"Jun 3, 2019",00:19:00
0,1559489340000 ,"Jun 3, 2019",00:29:00
0,1559489940000 ,"Jun 3, 2019",00:39:00
0,1559490540000 ,"Jun 3, 2019",00:49:00
0,1559491140000 ,"Jun 3, 2019",00:59:00
0,1559491740000 ,"Jun 3, 2019",01:09:00
0,1559492340000 ,"Jun 3, 2019",01:19:00
0,1559492940000 ,"Jun 3, 2019",01:29:00
0,1559493540000 ,"Jun 3, 2019",01:39:00
0,1559494140000 ,"Jun 3, 2019",01:49:00
0,1559494800000 ,"Jun 3, 2019",02:00:00
0,1559495400000 ,"Jun 3, 2019",02:10:00
0,1559496000000 ,"Jun 3, 2019",02:20:00
0,1559496600000 ,"Jun 3, 2019",02:30:00
0,1559497200000 ,"Jun 3, 2019",02:40:00
0,1559497800000 ,"Jun 3, 2019",02:50:00
0,1559498400000 ,"Jun 3, 2019",03:00:00
0,1559499000000 ,"Jun 3, 2019",03:10:00
0,1559499600000 ,"Jun 3, 2019",03:20:00
0,1559500200000 ,"Jun 3, 2019",03:30:00
0,1559500800000 ,"Jun 3, 2019",03:40:00
0,1559501400000 ,"Jun 3, 2019",03:50:00
0,1559502000000 ,"Jun 3, 2019",04:00:00
0,1559502600000 ,"Jun 3, 2019",04:10:00
0,1559503200000 ,"Jun 3, 2019",04:20:00
0,1559503800000 ,"Jun 3, 2019",04:30:00
0,1559504400000 ,"Jun 3, 2019",04:40:00
0,1559505000000 ,"Jun 3, 2019",04:50:00
0,1559505600000 ,"Jun 3, 2019",05:00:00
0,1559506200000 ,"Jun 3, 2019",05:10:00
0,1559506800000 ,"Jun 3, 2019",05:20:00
0,1559507400000 ,"Jun 3, 2019",05:30:00
0,1559508000000 ,"Jun 3, 2019",05:40:00
0,1559508600000 ,"Jun 3, 2019",05:50:00
0,1559509200000 ,"Jun 3, 2019",06:00:00
0,1559509800000 ,"Jun 3, 2019",06:10:00
0,1559510400000 ,"Jun 3, 2019",06:20:00
0,1559511000000 ,"Jun 3, 2019",06:30:00
0,1559511600000 ,"Jun 3, 2019",06:40:00
0,1559512200000 ,"Jun 3, 2019",06:50:00
0,1559512800000 ,"Jun 3, 2019",07:00:00
0,1559513400000 ,"Jun 3, 2019",07:10:00
0,1559514000000 ,"Jun 3, 2019",07:20:00
0,1559514600000 ,"Jun 3, 2019",07:30:00
0,1559515200000 ,"Jun 3, 2019",07:40:00
0,1559515800000 ,"Jun 3, 2019",07:50:00
0,1559516400000 ,"Jun 3, 2019",08:00:00
0,1559517000000 ,"Jun 3, 2019",08:10:00
0,1559517600000 ,"Jun 3, 2019",08:20:00
0,1559518200000 ,"Jun 3, 2019",08:30:00
0,1559518800000 ,"Jun 3, 2019",08:40:00
0,1559519400000 ,"Jun 3, 2019",08:50:00
0,1559520000000 ,"Jun 3, 2019",09:00:00
0,1559520600000 ,"Jun 3, 2019",09:10:00
0,1559521200000 ,"Jun 3, 2019",09:20:00
0,1559521800000 ,"Jun 3, 2019",09:30:00
0,1559522400000 ,"Jun 3, 2019",09:40:00
0,1559523000000 ,"Jun 3, 2019",09:50:00
0,1559523600000 ,"Jun 3, 2019",10:00:00
0,1559524200000 ,"Jun 3, 2019",10:10:00
0,1559524800000 ,"Jun 3, 2019",10:20:00
0,1559525400000 ,"Jun 3, 2019",10:30:00
0,1559526000000 ,"Jun 3, 2019",10:40:00
0,1559526600000 ,"Jun 3, 2019",10:50:00
0,1559527200000 ,"Jun 3, 2019",11:00:00
0,1559527800000 ,"Jun 3, 2019",11:10:00
0,1559528400000 ,"Jun 3, 2019",11:20:00
0,1559529000000 ,"Jun 3, 2019",11:30:00
0,1559529600000 ,"Jun 3, 2019",11:40:00
0,1559530200000 ,"Jun 3, 2019",11:50:00
0,1559530800000 ,"Jun 3, 2019",12:00:00
0,1559531400000 ,"Jun 3, 2019",12:10:00
0,1559532000000 ,"Jun 3, 2019",12:20:00
0,1559532600000 ,"Jun 3, 2019",12:30:00
0,1559533200000 ,"Jun 3, 2019",12:40:00
0,1559533800000 ,"Jun 3, 2019",12:50:00
0,1559534400000 ,"Jun 3, 2019",13:00:00
0,1559535000000 ,"Jun 3, 2019",13:10:00
0,1559535600000 ,"Jun 3, 2019",13:20:00
0,1559536200000 ,"Jun 3, 2019",13:30:00
0,1559536800000 ,"Jun 3, 2019",13:40:00
0,1559537400000 ,"Jun 3, 2019",13:50:00
0,1559538000000 ,"Jun 3, 2019",14:00:00
0,1559538600000 ,"Jun 3, 2019",14:10:00
0,1559539200000 ,"Jun 3, 2019",14:20:00
0,1559539800000 ,"Jun 3, 2019",14:30:00
0,1559540400000 ,"Jun 3, 2019",14:40:00
0,1559541000000 ,"Jun 3, 2019",14:50:00
0,1559541600000 ,"Jun 3, 2019",15:00:00
0,1559542200000 ,"Jun 3, 2019",15:10:00
0,1559542800000 ,"Jun 3, 2019",15:20:00
0,1559543400000 ,"Jun 3, 2019",15:30:00
0,1559544000000 ,"Jun 3, 2019",15:40:00
0,1559544600000 ,"Jun 3, 2019",15:50:00
0,1559545200000 ,"Jun 3, 2019",16:00:00
0,1559545800000 ,"Jun 3, 2019",16:10:00
0,1559546400000 ,"Jun 3, 2019",16:20:00
0,1559547000000 ,"Jun 3, 2019",16:30:00
0,1559547600000 ,"Jun 3, 2019",16:40:00
0,1559548200000 ,"Jun 3, 2019",16:50:00
0,1559548800000 ,"Jun 3, 2019",17:00:00
0,1559549400000 ,"Jun 3, 2019",17:10:00
0,1559550000000 ,"Jun 3, 2019",17:20:00
0,1559550600000 ,"Jun 3, 2019",17:30:00
0,1559551200000 ,"Jun 3, 2019",17:40:00
0,1559551800000 ,"Jun 3, 2019",17:50:00
0,1559552400000 ,"Jun 3, 2019",18:00:00
0,1559553000000 ,"Jun 3, 2019",18:10:00
0,1559553600000 ,"Jun 3, 2019",18:20:00
0,1559554200000 ,"Jun 3, 2019",18:30:00
0,1559554800000 ,"Jun 3, 2019",18:40:00
0,1559555400000 ,"Jun 3, 2019",18:50:00
0,1559556000000 ,"Jun 3, 2019",19:00:00
0,1559556600000 ,"Jun 3, 2019",19:10:00
0,1559557200000 ,"Jun 3, 2019",19:20:00
0,1559557800000 ,"Jun 3, 2019",19:30:00
0,1559558400000 ,"Jun 3, 2019",19:40:00
0,1559559000000 ,"Jun 3, 2019",19:50:00
0,1559559600000 ,"Jun 3, 2019",20:00:00
0,1559560200000 ,"Jun 3, 2019",20:10:00
0,1559560800000 ,"Jun 3, 2019",20:20:00
