Steps,Timestamp,Date,Time
0,1548995340000 ,"Feb 1, 2019",1:29:00 PM
0,1548995940000 ,"Feb 1, 2019",1:39:00 PM
0,1548996540000 ,"Feb 1, 2019",1:49:00 PM
0,1548997140000 ,"Feb 1, 2019",1:59:00 PM
0,1548997740000 ,"Feb 1, 2019",2:09:00 PM
0,1548998340000 ,"Feb 1, 2019",2:19:00 PM
0,1548998940000 ,"Feb 1, 2019",2:29:00 PM
0,1548999540000 ,"Feb 1, 2019",2:39:00 PM
0,1549000140000 ,"Feb 1, 2019",2:49:00 PM
255,1549000740000 ,"Feb 1, 2019",2:59:00 PM
698,1549001340000 ,"Feb 1, 2019",3:09:00 PM
1161,1549001940000 ,"Feb 1, 2019",3:19:00 PM
1285,1549002540000 ,"Feb 1, 2019",3:29:00 PM
1517,1549003140000 ,"Feb 1, 2019",3:39:00 PM
1695,1549003740000 ,"Feb 1, 2019",3:49:00 PM
2295,1549004340000 ,"Feb 1, 2019",3:59:00 PM
2295,1549004940000 ,"Feb 1, 2019",4:09:00 PM
2502,1549005540000 ,"Feb 1, 2019",4:19:00 PM
3284,1549006140000 ,"Feb 1, 2019",4:29:00 PM
3284,1549006740000 ,"Feb 1, 2019",4:39:00 PM
3284,1549007340000 ,"Feb 1, 2019",4:49:00 PM
3284,1549007940000 ,"Feb 1, 2019",4:59:00 PM
3284,1549008540000 ,"Feb 1, 2019",5:09:00 PM
3888,1549009140000 ,"Feb 1, 2019",5:19:00 PM
4001,1549009740000 ,"Feb 1, 2019",5:29:00 PM
4001,1549010340000 ,"Feb 1, 2019",5:39:00 PM
4001,1549010940000 ,"Feb 1, 2019",5:49:00 PM
4001,1549011540000 ,"Feb 1, 2019",5:59:00 PM
4001,1549012140000 ,"Feb 1, 2019",6:09:00 PM
4001,1549012740000 ,"Feb 1, 2019",6:19:00 PM
4001,1549013340000 ,"Feb 1, 2019",6:29:00 PM
4001,1549013940000 ,"Feb 1, 2019",6:39:00 PM
4001,1549014540000 ,"Feb 1, 2019",6:49:00 PM
4001,1549015140000 ,"Feb 1, 2019",6:59:00 PM
4001,1549015740000 ,"Feb 1, 2019",7:09:00 PM
4001,1549016340000 ,"Feb 1, 2019",7:19:00 PM
4001,1549016940000 ,"Feb 1, 2019",7:29:00 PM
4001,1549017540000 ,"Feb 1, 2019",7:39:00 PM
4001,1549018140000 ,"Feb 1, 2019",7:49:00 PM
4001,1549018740000 ,"Feb 1, 2019",7:59:00 PM
4001,1549019340000 ,"Feb 1, 2019",8:09:00 PM
4015,1549019940000 ,"Feb 1, 2019",8:19:00 PM
4015,1549020540000 ,"Feb 1, 2019",8:29:00 PM
4015,1549021140000 ,"Feb 1, 2019",8:39:00 PM
4015,1549021740000 ,"Feb 1, 2019",8:49:00 PM
4015,1549022340000 ,"Feb 1, 2019",8:59:00 PM
4015,1549022940000 ,"Feb 1, 2019",9:09:00 PM
4015,1549023540000 ,"Feb 1, 2019",9:19:00 PM
4015,1549024140000 ,"Feb 1, 2019",9:29:00 PM
4015,1549024740000 ,"Feb 1, 2019",9:39:00 PM
4015,1549025340000 ,"Feb 1, 2019",9:49:00 PM
4015,1549025940000 ,"Feb 1, 2019",9:59:00 PM
4015,1549026540000 ,"Feb 1, 2019",10:09:00 PM
4015,1549027140000 ,"Feb 1, 2019",10:19:00 PM
4015,1549027740000 ,"Feb 1, 2019",10:29:00 PM
4015,1549028340000 ,"Feb 1, 2019",10:39:00 PM
4015,1549028940000 ,"Feb 1, 2019",10:49:00 PM
4044,1549029540000 ,"Feb 1, 2019",10:59:00 PM
4044,1549030140000 ,"Feb 1, 2019",11:09:00 PM
4044,1549030740000 ,"Feb 1, 2019",11:19:00 PM
4044,1549031340000 ,"Feb 1, 2019",11:29:00 PM
4044,1549031940000 ,"Feb 1, 2019",11:39:00 PM
4044,1549032540000 ,"Feb 1, 2019",11:49:00 PM
4044,1549033140000 ,"Feb 1, 2019",11:59:00 PM
4044,1549033740000 ,"Feb 2, 2019",12:09:00 AM
4044,1549034340000 ,"Feb 2, 2019",12:19:00 AM
4044,1549034940000 ,"Feb 2, 2019",12:29:00 AM
4044,1549035540000 ,"Feb 2, 2019",12:39:00 AM
4044,1549036140000 ,"Feb 2, 2019",12:49:00 AM
4044,1549036740000 ,"Feb 2, 2019",12:59:00 AM
4044,1549037340000 ,"Feb 2, 2019",1:09:00 AM
4044,1549037940000 ,"Feb 2, 2019",1:19:00 AM
4064,1549038540000 ,"Feb 2, 2019",1:29:00 AM
4265,1549039140000 ,"Feb 2, 2019",1:39:00 AM
4904,1549039740000 ,"Feb 2, 2019",1:49:00 AM
4904,1549040340000 ,"Feb 2, 2019",1:59:00 AM
4904,1549040940000 ,"Feb 2, 2019",2:09:00 AM
4904,1549041540000 ,"Feb 2, 2019",2:19:00 AM
4904,1549042140000 ,"Feb 2, 2019",2:29:00 AM
4904,1549042740000 ,"Feb 2, 2019",2:39:00 AM
4904,1549043340000 ,"Feb 2, 2019",2:49:00 AM
4904,1549043940000 ,"Feb 2, 2019",2:59:00 AM
4904,1549044540000 ,"Feb 2, 2019",3:09:00 AM
4904,1549045140000 ,"Feb 2, 2019",3:19:00 AM
5046,1549045740000 ,"Feb 2, 2019",3:29:00 AM
5046,1549046340000 ,"Feb 2, 2019",3:39:00 AM
5046,1549046940000 ,"Feb 2, 2019",3:49:00 AM
5046,1549047540000 ,"Feb 2, 2019",3:59:00 AM
5046,1549048140000 ,"Feb 2, 2019",4:09:00 AM
5046,1549048740000 ,"Feb 2, 2019",4:19:00 AM
5046,1549049340000 ,"Feb 2, 2019",4:29:00 AM
5046,1549049940000 ,"Feb 2, 2019",4:39:00 AM
5046,1549050540000 ,"Feb 2, 2019",4:49:00 AM
5046,1549051140000 ,"Feb 2, 2019",4:59:00 AM
5046,1549051740000 ,"Feb 2, 2019",5:09:00 AM
5046,1549052340000 ,"Feb 2, 2019",5:19:00 AM
5046,1549052940000 ,"Feb 2, 2019",5:29:00 AM
5046,1549053540000 ,"Feb 2, 2019",5:39:00 AM
5046,1549054140000 ,"Feb 2, 2019",5:49:00 AM
5046,1549054740000 ,"Feb 2, 2019",5:59:00 AM
0,1549055340000 ,"Feb 2, 2019",6:09:00 AM
0,1549055460000 ,"Feb 2, 2019",6:11:00 AM
0,1549056060000 ,"Feb 2, 2019",6:21:00 AM
0,1549056660000 ,"Feb 2, 2019",6:31:00 AM
0,1549057260000 ,"Feb 2, 2019",6:41:00 AM
0,1549057860000 ,"Feb 2, 2019",6:51:00 AM
0,1549058460000 ,"Feb 2, 2019",7:01:00 AM
0,1549059060000 ,"Feb 2, 2019",7:11:00 AM
0,1549059660000 ,"Feb 2, 2019",7:21:00 AM
0,1549060260000 ,"Feb 2, 2019",7:31:00 AM
0,1549060860000 ,"Feb 2, 2019",7:41:00 AM
0,1549061460000 ,"Feb 2, 2019",7:51:00 AM
0,1549062060000 ,"Feb 2, 2019",8:01:00 AM
0,1549062660000 ,"Feb 2, 2019",8:11:00 AM
0,1549063260000 ,"Feb 2, 2019",8:21:00 AM
0,1549063860000 ,"Feb 2, 2019",8:31:00 AM
0,1549064460000 ,"Feb 2, 2019",8:41:00 AM
0,1549065060000 ,"Feb 2, 2019",8:51:00 AM
0,1549065660000 ,"Feb 2, 2019",9:01:00 AM
0,1549066260000 ,"Feb 2, 2019",9:11:00 AM
0,1549066860000 ,"Feb 2, 2019",9:21:00 AM
0,1549067460000 ,"Feb 2, 2019",9:31:00 AM
0,1549068060000 ,"Feb 2, 2019",9:41:00 AM
0,1549068660000 ,"Feb 2, 2019",9:51:00 AM
0,1549069260000 ,"Feb 2, 2019",10:01:00 AM
0,1549069860000 ,"Feb 2, 2019",10:11:00 AM
0,1549070460000 ,"Feb 2, 2019",10:21:00 AM
0,1549071060000 ,"Feb 2, 2019",10:31:00 AM
0,1549071660000 ,"Feb 2, 2019",10:41:00 AM
0,1549072260000 ,"Feb 2, 2019",10:51:00 AM
0,1549072860000 ,"Feb 2, 2019",11:01:00 AM
0,1549073460000 ,"Feb 2, 2019",11:11:00 AM
0,1549074060000 ,"Feb 2, 2019",11:21:00 AM
0,1549074660000 ,"Feb 2, 2019",11:31:00 AM
0,1549075260000 ,"Feb 2, 2019",11:41:00 AM
0,1549075860000 ,"Feb 2, 2019",11:51:00 AM
0,1549076460000 ,"Feb 2, 2019",12:01:00 PM
0,1549077060000 ,"Feb 2, 2019",12:11:00 PM
0,1549077660000 ,"Feb 2, 2019",12:21:00 PM
0,1549078260000 ,"Feb 2, 2019",12:31:00 PM
0,1549078860000 ,"Feb 2, 2019",12:41:00 PM
0,1549079460000 ,"Feb 2, 2019",12:51:00 PM
0,1549080060000 ,"Feb 2, 2019",1:01:00 PM
0,1549080660000 ,"Feb 2, 2019",1:11:00 PM
0,1549081260000 ,"Feb 2, 2019",1:21:00 PM
0,1549081860000 ,"Feb 2, 2019",1:31:00 PM
0,1549082460000 ,"Feb 2, 2019",1:41:00 PM
0,1549083060000 ,"Feb 2, 2019",1:51:00 PM
0,1549083660000 ,"Feb 2, 2019",2:01:00 PM
0,1549084260000 ,"Feb 2, 2019",2:11:00 PM
93,1549084860000 ,"Feb 2, 2019",2:21:00 PM
147,1549085460000 ,"Feb 2, 2019",2:31:00 PM
147,1549086060000 ,"Feb 2, 2019",2:41:00 PM
147,1549086660000 ,"Feb 2, 2019",2:51:00 PM
410,1549087260000 ,"Feb 2, 2019",3:01:00 PM
455,1549087860000 ,"Feb 2, 2019",3:11:00 PM
1072,1549088460000 ,"Feb 2, 2019",3:21:00 PM
1219,1549089060000 ,"Feb 2, 2019",3:31:00 PM
1219,1549089660000 ,"Feb 2, 2019",3:41:00 PM
1219,1549090260000 ,"Feb 2, 2019",3:51:00 PM
1219,1549090860000 ,"Feb 2, 2019",4:01:00 PM
1702,1549091460000 ,"Feb 2, 2019",4:11:00 PM
2005,1549092060000 ,"Feb 2, 2019",4:21:00 PM
2005,1549092660000 ,"Feb 2, 2019",4:31:00 PM
2005,1549093260000 ,"Feb 2, 2019",4:41:00 PM
2005,1549093860000 ,"Feb 2, 2019",4:51:00 PM
2005,1549094460000 ,"Feb 2, 2019",5:01:00 PM
2005,1549095060000 ,"Feb 2, 2019",5:11:00 PM
2005,1549095660000 ,"Feb 2, 2019",5:21:00 PM
2243,1549096260000 ,"Feb 2, 2019",5:31:00 PM
3130,1549096860000 ,"Feb 2, 2019",5:41:00 PM
3902,1549097460000 ,"Feb 2, 2019",5:51:00 PM
4558,1549098060000 ,"Feb 2, 2019",6:01:00 PM
4608,1549098660000 ,"Feb 2, 2019",6:11:00 PM
4707,1549099260000 ,"Feb 2, 2019",6:21:00 PM
4753,1549099860000 ,"Feb 2, 2019",6:31:00 PM
4789,1549100460000 ,"Feb 2, 2019",6:41:00 PM
5103,1549101060000 ,"Feb 2, 2019",6:51:00 PM
5399,1549101660000 ,"Feb 2, 2019",7:01:00 PM
5399,1549102260000 ,"Feb 2, 2019",7:11:00 PM
5399,1549102860000 ,"Feb 2, 2019",7:21:00 PM
5399,1549103460000 ,"Feb 2, 2019",7:31:00 PM
5399,1549104060000 ,"Feb 2, 2019",7:41:00 PM
5399,1549104660000 ,"Feb 2, 2019",7:51:00 PM
5399,1549105260000 ,"Feb 2, 2019",8:01:00 PM
5399,1549105860000 ,"Feb 2, 2019",8:11:00 PM
5399,1549106460000 ,"Feb 2, 2019",8:21:00 PM
5399,1549107060000 ,"Feb 2, 2019",8:31:00 PM
5399,1549107660000 ,"Feb 2, 2019",8:41:00 PM
5399,1549108260000 ,"Feb 2, 2019",8:51:00 PM
5399,1549108860000 ,"Feb 2, 2019",9:01:00 PM
5399,1549109460000 ,"Feb 2, 2019",9:11:00 PM
5399,1549110060000 ,"Feb 2, 2019",9:21:00 PM
5423,1549110660000 ,"Feb 2, 2019",9:31:00 PM
5423,1549111260000 ,"Feb 2, 2019",9:41:00 PM
5423,1549111860000 ,"Feb 2, 2019",9:51:00 PM
5423,1549112460000 ,"Feb 2, 2019",10:01:00 PM
5423,1549113060000 ,"Feb 2, 2019",10:11:00 PM
5423,1549113660000 ,"Feb 2, 2019",10:21:00 PM
5423,1549114260000 ,"Feb 2, 2019",10:31:00 PM
5433,1549114860000 ,"Feb 2, 2019",10:41:00 PM
5433,1549115460000 ,"Feb 2, 2019",10:51:00 PM
5433,1549116060000 ,"Feb 2, 2019",11:01:00 PM
5433,1549116660000 ,"Feb 2, 2019",11:11:00 PM
5433,1549117260000 ,"Feb 2, 2019",11:21:00 PM
5433,1549117860000 ,"Feb 2, 2019",11:31:00 PM
5433,1549118460000 ,"Feb 2, 2019",11:41:00 PM
5433,1549119060000 ,"Feb 2, 2019",11:51:00 PM
5433,1549119660000 ,"Feb 3, 2019",12:01:00 AM
5433,1549120260000 ,"Feb 3, 2019",12:11:00 AM
5433,1549120860000 ,"Feb 3, 2019",12:21:00 AM
5433,1549121460000 ,"Feb 3, 2019",12:31:00 AM
5433,1549122060000 ,"Feb 3, 2019",12:41:00 AM
5433,1549122660000 ,"Feb 3, 2019",12:51:00 AM
5433,1549123260000 ,"Feb 3, 2019",1:01:00 AM
5433,1549123860000 ,"Feb 3, 2019",1:11:00 AM
5433,1549124460000 ,"Feb 3, 2019",1:21:00 AM
5433,1549125060000 ,"Feb 3, 2019",1:31:00 AM
5433,1549125660000 ,"Feb 3, 2019",1:41:00 AM
5471,1549126260000 ,"Feb 3, 2019",1:51:00 AM
5735,1549126860000 ,"Feb 3, 2019",2:01:00 AM
6213,1549127460000 ,"Feb 3, 2019",2:11:00 AM
6230,1549128060000 ,"Feb 3, 2019",2:21:00 AM
6278,1549128660000 ,"Feb 3, 2019",2:31:00 AM
6278,1549129260000 ,"Feb 3, 2019",2:41:00 AM
6278,1549129860000 ,"Feb 3, 2019",2:51:00 AM
6576,1549130460000 ,"Feb 3, 2019",3:01:00 AM
6786,1549131060000 ,"Feb 3, 2019",3:11:00 AM
6980,1549131660000 ,"Feb 3, 2019",3:21:00 AM
7638,1549132260000 ,"Feb 3, 2019",3:31:00 AM
7850,1549132860000 ,"Feb 3, 2019",3:41:00 AM
7927,1549133460000 ,"Feb 3, 2019",3:51:00 AM
8255,1549134060000 ,"Feb 3, 2019",4:01:00 AM
8255,1549134660000 ,"Feb 3, 2019",4:11:00 AM
8255,1549135260000 ,"Feb 3, 2019",4:21:00 AM
8265,1549135860000 ,"Feb 3, 2019",4:31:00 AM
8265,1549136460000 ,"Feb 3, 2019",4:41:00 AM
8265,1549137060000 ,"Feb 3, 2019",4:51:00 AM
8265,1549137660000 ,"Feb 3, 2019",5:01:00 AM
8265,1549138260000 ,"Feb 3, 2019",5:11:00 AM
8265,1549138860000 ,"Feb 3, 2019",5:21:00 AM
8387,1549139460000 ,"Feb 3, 2019",5:31:00 AM
8387,1549140060000 ,"Feb 3, 2019",5:41:00 AM
8387,1549140660000 ,"Feb 3, 2019",5:51:00 AM
8387,1549141140000 ,"Feb 3, 2019",5:59:00 AM
0,1549141740000 ,"Feb 3, 2019",6:09:00 AM
0,1549141860000 ,"Feb 3, 2019",6:11:00 AM
0,1549142460000 ,"Feb 3, 2019",6:21:00 AM
0,1549143060000 ,"Feb 3, 2019",6:31:00 AM
0,1549143660000 ,"Feb 3, 2019",6:41:00 AM
0,1549144260000 ,"Feb 3, 2019",6:51:00 AM
0,1549144860000 ,"Feb 3, 2019",7:01:00 AM
0,1549145460000 ,"Feb 3, 2019",7:11:00 AM
0,1549146060000 ,"Feb 3, 2019",7:21:00 AM
0,1549146660000 ,"Feb 3, 2019",7:31:00 AM
0,1549147260000 ,"Feb 3, 2019",7:41:00 AM
0,1549147860000 ,"Feb 3, 2019",7:51:00 AM
0,1549148460000 ,"Feb 3, 2019",8:01:00 AM
0,1549149060000 ,"Feb 3, 2019",8:11:00 AM
0,1549149660000 ,"Feb 3, 2019",8:21:00 AM
0,1549150260000 ,"Feb 3, 2019",8:31:00 AM
0,1549150860000 ,"Feb 3, 2019",8:41:00 AM
0,1549151460000 ,"Feb 3, 2019",8:51:00 AM
0,1549152060000 ,"Feb 3, 2019",9:01:00 AM
0,1549152660000 ,"Feb 3, 2019",9:11:00 AM
0,1549153260000 ,"Feb 3, 2019",9:21:00 AM
0,1549153860000 ,"Feb 3, 2019",9:31:00 AM
0,1549154460000 ,"Feb 3, 2019",9:41:00 AM
0,1549155060000 ,"Feb 3, 2019",9:51:00 AM
0,1549155660000 ,"Feb 3, 2019",10:01:00 AM
0,1549156260000 ,"Feb 3, 2019",10:11:00 AM
0,1549156860000 ,"Feb 3, 2019",10:21:00 AM
0,1549157460000 ,"Feb 3, 2019",10:31:00 AM
0,1549158060000 ,"Feb 3, 2019",10:41:00 AM
0,1549158660000 ,"Feb 3, 2019",10:51:00 AM
0,1549159260000 ,"Feb 3, 2019",11:01:00 AM
0,1549159860000 ,"Feb 3, 2019",11:11:00 AM
0,1549160460000 ,"Feb 3, 2019",11:21:00 AM
0,1549161060000 ,"Feb 3, 2019",11:31:00 AM
0,1549161660000 ,"Feb 3, 2019",11:41:00 AM
0,1549162260000 ,"Feb 3, 2019",11:51:00 AM
0,1549162860000 ,"Feb 3, 2019",12:01:00 PM
0,1549163460000 ,"Feb 3, 2019",12:11:00 PM
0,1549164060000 ,"Feb 3, 2019",12:21:00 PM
0,1549164660000 ,"Feb 3, 2019",12:31:00 PM
0,1549165260000 ,"Feb 3, 2019",12:41:00 PM
0,1549165860000 ,"Feb 3, 2019",12:51:00 PM
0,1549166460000 ,"Feb 3, 2019",1:01:00 PM
0,1549167060000 ,"Feb 3, 2019",1:11:00 PM
0,1549167660000 ,"Feb 3, 2019",1:21:00 PM
0,1549168260000 ,"Feb 3, 2019",1:31:00 PM
0,1549168860000 ,"Feb 3, 2019",1:41:00 PM
0,1549169460000 ,"Feb 3, 2019",1:51:00 PM
0,1549170060000 ,"Feb 3, 2019",2:01:00 PM
30,1549170660000 ,"Feb 3, 2019",2:11:00 PM
30,1549171260000 ,"Feb 3, 2019",2:21:00 PM
30,1549171860000 ,"Feb 3, 2019",2:31:00 PM
30,1549172460000 ,"Feb 3, 2019",2:41:00 PM
60,1549173060000 ,"Feb 3, 2019",2:51:00 PM
60,1549173660000 ,"Feb 3, 2019",3:01:00 PM
60,1549174260000 ,"Feb 3, 2019",3:11:00 PM
60,1549174860000 ,"Feb 3, 2019",3:21:00 PM
564,1549175460000 ,"Feb 3, 2019",3:31:00 PM
632,1549176060000 ,"Feb 3, 2019",3:41:00 PM
762,1549176660000 ,"Feb 3, 2019",3:51:00 PM
895,1549177260000 ,"Feb 3, 2019",4:01:00 PM
1025,1549177860000 ,"Feb 3, 2019",4:11:00 PM
1075,1549178460000 ,"Feb 3, 2019",4:21:00 PM
1187,1549179060000 ,"Feb 3, 2019",4:31:00 PM
1938,1549179660000 ,"Feb 3, 2019",4:41:00 PM
2099,1549180260000 ,"Feb 3, 2019",4:51:00 PM
2153,1549180860000 ,"Feb 3, 2019",5:01:00 PM
2265,1549181460000 ,"Feb 3, 2019",5:11:00 PM
2278,1549182060000 ,"Feb 3, 2019",5:21:00 PM
2278,1549182660000 ,"Feb 3, 2019",5:31:00 PM
2278,1549183260000 ,"Feb 3, 2019",5:41:00 PM
3057,1549183860000 ,"Feb 3, 2019",5:51:00 PM
3923,1549184460000 ,"Feb 3, 2019",6:01:00 PM
4981,1549185060000 ,"Feb 3, 2019",6:11:00 PM
5750,1549185660000 ,"Feb 3, 2019",6:21:00 PM
6426,1549186260000 ,"Feb 3, 2019",6:31:00 PM
6688,1549186860000 ,"Feb 3, 2019",6:41:00 PM
7139,1549187460000 ,"Feb 3, 2019",6:51:00 PM
7139,1549188060000 ,"Feb 3, 2019",7:01:00 PM
7139,1549188660000 ,"Feb 3, 2019",7:11:00 PM
7139,1549189260000 ,"Feb 3, 2019",7:21:00 PM
7139,1549189860000 ,"Feb 3, 2019",7:31:00 PM
7139,1549190460000 ,"Feb 3, 2019",7:41:00 PM
7139,1549191060000 ,"Feb 3, 2019",7:51:00 PM
7139,1549191660000 ,"Feb 3, 2019",8:01:00 PM
7139,1549192260000 ,"Feb 3, 2019",8:11:00 PM
7139,1549192860000 ,"Feb 3, 2019",8:21:00 PM
7139,1549193460000 ,"Feb 3, 2019",8:31:00 PM
7139,1549194060000 ,"Feb 3, 2019",8:41:00 PM
7139,1549194660000 ,"Feb 3, 2019",8:51:00 PM
7139,1549195260000 ,"Feb 3, 2019",9:01:00 PM
7139,1549195860000 ,"Feb 3, 2019",9:11:00 PM
7139,1549196460000 ,"Feb 3, 2019",9:21:00 PM
7139,1549197060000 ,"Feb 3, 2019",9:31:00 PM
7139,1549197660000 ,"Feb 3, 2019",9:41:00 PM
7139,1549198260000 ,"Feb 3, 2019",9:51:00 PM
7139,1549198860000 ,"Feb 3, 2019",10:01:00 PM
